               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  66,              1.9008,              1.3234,              2.0803,             0.77495,                0.95,             0.87221,             0.50586,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              2.0019,              1.4439,              2.1233,             0.80554,             0.82906,             0.87881,             0.43461,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              2.0207,              1.3813,              2.1155,             0.79094,                0.85,             0.86012,             0.43541,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,               2.016,              1.3191,              1.9732,             0.69076,                0.85,              0.8108,             0.40109,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.8953,              1.2903,              1.9264,             0.76484,             0.81358,             0.86381,             0.40038,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.9753,               1.412,              2.1164,             0.63531,                 0.9,             0.84774,              0.3843,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.9237,              1.3245,              1.9965,                0.79,                 0.8,             0.86726,             0.39546,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.9645,              1.3066,              1.9439,             0.81669,                 0.8,             0.86554,             0.43389,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.9397,              1.2674,              1.9586,             0.86278,                0.95,             0.91452,             0.39627,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.8924,              1.2195,              1.8795,             0.79367,                0.85,              0.8791,             0.40171,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.8523,              1.3153,              1.9569,             0.76484,                 0.9,             0.90178,             0.44278,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.9713,              1.3589,              1.9817,             0.78028,              0.8882,             0.92023,             0.42743,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.8615,              1.2702,              1.9123,             0.89542,              0.8565,             0.92723,             0.41738,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.8908,              1.2224,              1.9429,             0.94695,             0.89287,             0.92554,             0.45395,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.7478,              1.1834,              1.9039,             0.80217,                 0.9,             0.88637,             0.47578,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.8483,              1.2165,              1.8998,             0.79986,                 0.8,             0.88589,             0.47256,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,               1.894,               1.313,              1.9941,              0.8345,                 0.8,             0.86091,             0.43304,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.8789,              1.2618,              1.9368,             0.86593,                 0.8,             0.89149,             0.50501,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.9068,              1.2131,              1.9091,             0.66924,             0.80967,             0.76875,             0.38469,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.8249,              1.2554,              1.9188,             0.70289,                 0.7,             0.74838,             0.35205,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.8451,              1.2038,              2.0183,             0.76531,                0.85,             0.85253,             0.39739,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.7795,              1.1561,               1.847,             0.87088,                 0.8,             0.87948,             0.43187,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.8198,              1.2341,              1.9363,             0.79689,                0.85,             0.90639,             0.51269,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
